Weapon,Skin,Rarity,Case,Price
Tec-9,Cracked Opal,Mil-Spec Pistol,Spectrum 2 Case,0.09
Tec-9,Cut Out,Mil-Spec Pistol,Operation Hydra Case,3.27
Tec-9,Ice Cap,Mil-Spec Pistol,Gamma Case,0.11
Tec-9,Jambiya,Mil-Spec Pistol,Operation Wildfire Case,0.55
Tec-9,Isaac,Mil-Spec Pistol,Huntsman Weapon Case,3.0
Tec-9,Sandstorm,Mil-Spec Pistol,Operation Phoenix Weapon Case,0.28
Tec-9,Blue Titanium,Mil-Spec Pistol,CS:GO Weapon Case 2,1.34
USP-S,Printstream,Covert Pistol,Recoil Case,39.23
USP-S,The Traitor,Covert Pistol,Snakebite Case,12.58
USP-S,Neo-Noir,Covert Pistol,Spectrum Case,15.7
USP-S,Kill Confirmed,Covert Pistol,Shadow Case,49.71
USP-S,Monster Mashup,Classified Pistol,Operation Broken Fang Case,17.28
USP-S,Cortex,Classified Pistol,Clutch Case,2.01
USP-S,Caiman,Classified Pistol,Huntsman Weapon Case,40.19
USP-S,Orion,Classified Pistol,The Huntsman Collection,51.33
USP-S,Serum,Classified Pistol,CS:GO Weapon Case 2,40.78
USP-S,Ticket to Hell,Restricted Pistol,Dreams & Nightmares Case,0.29
USP-S,Flashback,Restricted Pistol,Danger Zone Case,0.48
USP-S,Cyrex,Restricted Pistol,Glove Case,1.08
USP-S,Guardian,Restricted Pistol,Operation Phoenix Weapon Case,2.56
USP-S,Overgrowth,Restricted Pistol,Operation Bravo Case,26.4
USP-S,Dark Water,Restricted Pistol,CS:GO Weapon Case,71.0
USP-S,Black Lotus,Mil-Spec Pistol,Operation Riptide Case,0.82
USP-S,Blueprint,Mil-Spec Pistol,Operation Hydra Case,4.91
USP-S,Lead Conduit,Mil-Spec Pistol,Operation Wildfire Case,0.57
USP-S,Torque,Mil-Spec Pistol,Falchion Case,0.6
USP-S,Blood Tiger,Mil-Spec Pistol,eSports 2014 Summer Case,1.95
USP-S,Stainless,Mil-Spec Pistol,CS:GO Weapon Case 3,3.79
MAC-10,Stalker,Covert SMG,Shattered Web Case,14.29
MAC-10,Neon Rider,Covert SMG,Chroma 2 Case,6.55
MAC-10,Toybox,Classified SMG,Operation Riptide Case,3.86
MAC-10,Disco Tech,Classified SMG,Prisma 2 Case,2.55
MAC-10,Sakkaku,Restricted SMG,Revolution Case,1.18
MAC-10,Button Masher,Restricted SMG,Snakebite Case,0.24
MAC-10,Allure,Restricted SMG,Fracture Case,0.37
MAC-10,Pipe Down,Restricted SMG,Danger Zone Case,0.48
MAC-10,Last Dive,Restricted SMG,Spectrum Case,1.51
MAC-10,Malachite,Restricted SMG,Chroma Case,1.34
MAC-10,Tatter,Restricted SMG,Huntsman Weapon Case,7.76
MAC-10,Curse,Restricted SMG,The Huntsman Collection,8.19
MAC-10,Heat,Restricted SMG,Operation Phoenix Weapon Case,2.3
MAC-10,Graven,Restricted SMG,Operation Bravo Case,27.39
MAC-10,Monkeyflage,Mil-Spec SMG,Recoil Case,0.08
MAC-10,Ensnared,Mil-Spec SMG,Dreams & Nightmares Case,0.07
MAC-10,Classic Crate,Mil-Spec SMG,CS20 Case,0.15
MAC-10,Whitefish,Mil-Spec SMG,Prisma Case,0.13
MAC-10,Oceanic,Mil-Spec SMG,Spectrum 2 Case,0.09
MAC-10,Aloha,Mil-Spec SMG,Operation Hydra Case,3.64
MAC-10,Carnivore,Mil-Spec SMG,Gamma Case,0.12
MAC-10,Lapis Gator,Mil-Spec SMG,Operation Wildfire Case,0.61
MAC-10,Rangeen,Mil-Spec SMG,Shadow Case,0.16
MAC-10,Ultraviolet,Mil-Spec SMG,eSports 2014 Summer Case,1.96
MP5-SD,Phosphor,Classified SMG,Danger Zone Case,3.26
